                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8221,                 8.4183,                0.64994,                 13.707,                 1.8501,                0.02155,                0.79389,                0.03606,                0.01149,                      0,                      0,                      0,                      0,                 2.4895,                 8.8138,                0.66603,                 3.4744,                 2.6943,             0.00065672,             0.00065672,             0.00065672
                      2,                 2.0188,                 7.5524,                0.56473,                  4.066,                 1.9567,                0.00347,                0.19847,                0.00381,                0.00095,                      0,                      0,                      0,                      0,                 3.3028,                 9.1322,                0.70422,                 4.8673,                 3.8277,               0.001319,               0.001319,               0.001319
                      3,                 2.4281,                 6.7051,                0.54157,                  4.388,                 2.4752,                0.00222,                0.43511,                0.00345,                0.00084,                0.00031,                0.06107,                0.00018,                  4e-05,                 3.1315,                 8.1283,                0.48694,                 3.8306,                 3.7897,              0.0019769,              0.0019769,              0.0019769
                      4,                 2.7397,                 7.4597,                0.61028,                  4.621,                 2.7896,                0.01349,                0.33588,                0.02031,                0.00468,                0.00399,                0.09924,                0.00243,                0.00048,                 2.9709,                 8.1844,                0.45318,                 4.0518,                 4.3976,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.7882,                 6.9804,                0.54644,                 4.5926,                 2.8608,                0.01157,                0.41985,                0.02285,                0.00493,                0.00421,                0.15267,                0.00261,                0.00041,                 3.0551,                 7.4269,                0.27909,                 3.6528,                 3.7073,              0.0019736,              0.0019736,              0.0019736
                      6,                  2.704,                 6.6373,                0.55335,                 4.6582,                 2.7664,                0.00855,                0.00763,                0.00431,                0.00258,                      0,                      0,                      0,                      0,                 2.7546,                 6.3028,                0.27875,                 4.4766,                 2.9732,               0.001967,               0.001967,               0.001967
                      7,                 2.5732,                  6.494,                0.53464,                 4.4597,                  2.634,                 0.0829,                0.24427,                0.09539,                0.01955,                 0.0285,                0.08397,                0.03704,                0.00772,                 2.8065,                 5.8613,                0.31422,                 3.9304,                 2.9941,              0.0019604,              0.0019604,              0.0019604
                      8,                  2.611,                 6.3755,                0.52464,                 4.5141,                 2.6771,                0.01703,                0.18321,                0.02754,                0.00724,                0.01278,                 0.1374,                0.01689,                 0.0033,                 2.8032,                 6.2721,                0.29992,                 4.0618,                 2.8719,              0.0019538,              0.0019538,              0.0019538
                      9,                 2.4643,                 6.3225,                0.51061,                 4.4897,                 2.6101,                 0.0399,                0.38168,                0.03847,                0.00965,                0.01038,                0.09924,                0.00802,                0.00147,                 2.7912,                 6.2088,                0.29615,                 3.9476,                   3.01,              0.0019472,              0.0019472,              0.0019472
                     10,                  2.505,                 6.3483,                0.55941,                 4.4059,                 2.5789,                0.01541,                0.67176,                 0.0592,                0.01753,                0.00771,                0.33588,                0.01525,                0.00262,                 2.6542,                 6.0205,                0.29289,                  3.493,                 3.0388,              0.0019406,              0.0019406,              0.0019406
